,noise,distortion,hdToTestRobustTime,hdToTestTime,avSurfDistToTestTime,myRobustHdTime,myHdTime,mymedianHdTime,olivieraTime,hdToTestRobustValue,hdToTestValue ,myRobustHdValue,myHdValue,mymeanHdValue,olivieraValue,avSurfDistToTestValue,WIDTH,HEIGHT,DEPTH,hdToTestValue,translations
0,0.0,0.0,1.618650235200039,1.6007141791999857,1.6139236025999708,0.00885742869995738,0.010001792599996406,0.011178075200041349,0.125632866,180.13636501063783,294.8762452284009,86.0,119.0,37.06114196777344,115.0,233.71094523750983,336.0,250.0,371.0,294.8762452284009,0.0
1,0.0,0.0,1.5081495487999745,1.5326297095999508,1.5648360027999844,0.008053447600013896,0.009603101599986985,0.011588688299980276,0.09408151,1.0,118.85285019720814,41.0,76.0,6.957984924316406,78.0,39.60232288099588,336.0,250.0,371.0,118.85285019720814,0.0
2,0.0,0.0,1.4533957547999308,1.394807912700071,1.3935571731999516,0.008878464800000074,0.011011204900023585,0.012469527700068284,0.075334579,1.0,136.0514608521349,39.0,62.0,11.902549743652344,62.0,66.5935748461789,336.0,250.0,371.0,136.0514608521349,0.0
3,0.0,0.0,4.36421489710001,4.374501705500006,4.372007191800003,0.008670740099933027,0.011450565100039967,0.013922506299968518,0.113046875,6.0,305.8414621989635,36.0,98.0,8.09089469909668,96.0,106.31858928937622,336.0,250.0,371.0,305.8414621989635,0.0
4,0.0,0.0,1.6008740065999518,1.6000480892999804,1.6384190250000756,0.00888782789998004,0.010209088300052826,0.011104086400064262,0.122470612,180.13636501063783,294.8762452284009,86.0,119.0,37.06113815307617,115.0,233.71094523750986,336.0,250.0,371.0,294.8762452284009,0.0
5,0.0,0.0,2.1042348749999293,2.091012716000023,2.0936917633000123,0.009414682799979346,0.01033861280002384,0.01081209879994276,0.135795154,246.43221379518155,325.9509165503297,97.0,130.0,48.035499572753906,125.0,284.6557419078855,336.0,250.0,371.0,325.9509165503297,0.0
6,0.0,0.0,0.9005006542000047,0.8982683028000793,0.8974763978999363,0.009245841600022685,0.009714889699989727,0.010004933100026392,0.096689336,112.16505694733989,224.8399430706208,67.0,91.0,44.03936767578125,91.0,161.46448400670872,336.0,250.0,371.0,224.8399430706208,0.0
7,0.0,0.0,4.355656188499961,4.363390733100005,4.42306982580003,0.010908717200072715,0.012484552600017195,0.014595834899955662,0.164175724,3.0,328.28189106315324,104.0,141.0,41.36931228637695,150.0,130.62480123407522,336.0,250.0,371.0,328.28189106315324,0.0
8,0.0,0.0,1.5130235289000666,1.5112937797999622,1.5114455380999972,0.007664760299940098,0.010198975100047391,0.011695800499910546,0.090071252,1.0,118.85285019720814,41.0,76.0,6.957984924316406,78.0,39.60232288099588,336.0,250.0,371.0,118.85285019720814,0.0
9,0.0,0.0,2.1002413692999653,2.081080533899967,2.084968717999982,0.00941609060000701,0.010898199999974167,0.010849435499949323,0.133026655,246.43221379518155,325.9509165503297,97.0,130.0,48.035491943359375,125.0,284.6557419078855,336.0,250.0,371.0,325.9509165503297,0.0
10,0.0,0.0,1.5024531182999454,1.5159767354999532,1.5244637957999658,0.0063271450000684125,0.009551732800082391,0.009853016299985029,0.069997068,28.903597132648677,156.556698994326,26.0,61.0,8.040532112121582,61.0,84.88179969141953,336.0,250.0,371.0,156.556698994326,0.0
11,0.0,0.0,4.180511414800003,4.186890514800052,4.174537039200004,0.007025218599937944,0.009005495100063854,0.011254150900003878,0.044055378,1.0,311.82847849418755,12.0,35.0,3.5106077194213867,35.0,115.93727303045043,336.0,250.0,371.0,311.82847849418755,0.0
12,0.0,0.0,1.408347697499994,1.4049040294999942,1.4046893392999664,0.008887627700005396,0.01132877219997681,0.011546565099979488,0.069947322,1.0,136.0514608521349,39.0,62.0,11.902549743652344,62.0,66.5935748461789,336.0,250.0,371.0,136.0514608521349,0.0
13,0.0,0.0,0.8911670245000096,0.8999833780999325,0.8924079781000728,0.00923509889998968,0.009966785500000696,0.009986439699969197,0.097739412,112.16505694733989,224.8399430706208,67.0,91.0,44.03936767578125,91.0,161.46448400670872,336.0,250.0,371.0,224.8399430706208,0.0
14,0.0,0.0,1.5183944768001312,1.508926580700063,1.5115446592999433,0.006339196800036006,0.009393221800019091,0.009420018700075162,0.069899197,28.903597132648677,156.556698994326,26.0,61.0,8.040532112121582,61.0,84.88179969141952,336.0,250.0,371.0,156.556698994326,0.0
15,0.0,0.0,4.312132816600024,4.31043086869995,4.3178223007998895,0.009417972899973393,0.010715476299992588,0.012583262500083948,0.087223123,12.806248474865697,192.27844392963036,48.0,66.0,19.560274124145508,76.0,78.99152639145665,336.0,250.0,371.0,192.27844392963036,0.0
16,0.0,0.0,4.36177220089994,4.366799421199903,4.37640932810009,0.008460200100125803,0.010361813500094286,0.013528925900027388,0.110709202,6.0,305.8414621989635,36.0,98.0,8.09089469909668,96.0,106.31858928937616,336.0,250.0,371.0,305.8414621989635,0.0
17,0.0,0.0,4.328629910000018,4.307836543399935,4.308343837900066,0.01092824980005389,0.01293737539999711,0.014562595300048997,0.164527133,3.0,328.28189106315324,104.0,141.0,41.36931610107422,150.0,130.62480123407522,336.0,250.0,371.0,328.28189106315324,0.0
18,0.0,0.0,4.132173906299977,4.136250452999957,4.206911032000062,0.006917093599986402,0.008741670199924556,0.01130886949995329,0.043958871,1.0,311.82847849418755,12.0,35.0,3.5106077194213867,35.0,115.93727303045048,336.0,250.0,371.0,311.82847849418755,0.0
